,MRPS,Evaluations,MRPS std, Evaluations std
10,22.6,159.66000000000003,4.386342439892262,29.293009404975784
20,33.4,340.06000000000006,4.737087712930805,46.13736446742489
40,54.8,795.28,6.705221845696084,94.87740299987136
80,99.2,2045.6,15.26302722267113,288.1575124823227
160,156.8,4577.76,15.676734353812337,420.8787454837793
