88	950.4	[18521578, 18521579, 18521580, 18521581, 18521582, 18521583, 18521584, 18521585, 18521586, 18521587]
104	1466.4	[18521588, 18521589, 18521590, 18521591, 18521592, 18521593, 18521594, 18521595, 18521596, 18521597]
104	967.2	[18521598, 18521599, 18521600, 18521601, 18521602, 18521603, 18521604, 18521605, 18521606, 18521607]
68	612.0	[18521608, 18521609, 18521610, 18521611, 18521612, 18521613, 18521614, 18521615, 18521616, 18521617]
120	1020.0	[18521618, 18521619, 18521620, 18521621, 18521622, 18521623, 18521624, 18521625, 18521626, 18521627]
64	806.4	[18521628, 18521629, 18521630, 18521631, 18521632, 18521633, 18521634, 18521635, 18521636, 18521637]
72	640.8	[18521638, 18521639, 18521640, 18521641, 18521642, 18521643, 18521644, 18521645, 18521646, 18521647]
88	774.4	[18521648, 18521649, 18521650, 18521651, 18521652, 18521653, 18521654, 18521655, 18521656, 18521657]
88	792.0	[18521658, 18521659, 18521660, 18521661, 18521662, 18521663, 18521664, 18521665, 18521666, 18521667]
64	608.0	[18521668, 18521669, 18521670, 18521671, 18521672, 18521673, 18521674, 18521675, 18521676, 18521677]
26	202.8	[18521578, 18521579, 18521580, 18521581, 18521582, 18521583, 18521584, 18521585, 18521586, 18521587]
34	261.8	[18521588, 18521589, 18521590, 18521591, 18521592, 18521593, 18521594, 18521595, 18521596, 18521597]
32	265.6	[18521598, 18521599, 18521600, 18521601, 18521602, 18521603, 18521604, 18521605, 18521606, 18521607]
26	184.6	[18521608, 18521609, 18521610, 18521611, 18521612, 18521613, 18521614, 18521615, 18521616, 18521617]
34	282.2	[18521618, 18521619, 18521620, 18521621, 18521622, 18521623, 18521624, 18521625, 18521626, 18521627]
24	196.8	[18521628, 18521629, 18521630, 18521631, 18521632, 18521633, 18521634, 18521635, 18521636, 18521637]
28	221.2	[18521638, 18521639, 18521640, 18521641, 18521642, 18521643, 18521644, 18521645, 18521646, 18521647]
16	139.2	[18521648, 18521649, 18521650, 18521651, 18521652, 18521653, 18521654, 18521655, 18521656, 18521657]
36	280.8	[18521658, 18521659, 18521660, 18521661, 18521662, 18521663, 18521664, 18521665, 18521666, 18521667]
26	228.8	[18521668, 18521669, 18521670, 18521671, 18521672, 18521673, 18521674, 18521675, 18521676, 18521677]
